name,address,google_map,route_proximity
Ysgol Bro Ddyfi,SY20 8DR,"https://www.google.com/maps/@52.588572859593164,-3.85500477165255,16z",0
Melton Community Primary School,"Melton Road, IP12 1PG","https://www.google.com/maps/@52.104168676687365,1.3294961146110111,16z",0
Bishop Luffa School,"Westgate, Chichester, PO19 3HP","https://www.google.com/maps/@50.83733795146143,-0.7971590232666304,16z",0
Central CE Academy,"Orchard Street, Chichester, PO19 1DQ","https://www.google.com/maps/@50.83893843234674,-0.7928796393462122,16z",0
Kew Green Preparatory School,"Layton House, Ferry Lane, TW9 3AF","https://www.google.com/maps/@51.48595480421348,-0.2902053921270883,16z",0
Twynham School,BH23 1JF,"https://www.google.com/maps/@50.73230210051595,-1.7849745214795425,16z",0
Atlantic College,"East Drive, CF61 1WF","https://www.google.com/maps/@51.4086981096036,-3.529164591189276,16z",0
Hurst Park Primary School,,"https://www.google.com/maps/@51.40744151527607,-0.3736659602119334,16z",0
Charmouth County Primary School,,"https://www.google.com/maps/@50.7355251705654,-2.9015319227363223,16z",0
Jo Richardson Community School,"Gale Street, Dagenham, RM9 4UN","https://www.google.com/maps/@51.53285277559276,0.1247436709396116,16z",0
Wings School,"Whassett, LA7 7DN","https://www.google.com/maps/@54.21872936256216,-2.7483247630749648,16z",0
Colet Court,"St Paul's Preparatory School, Lonsdale Road, SW13 9JT","https://www.google.com/maps/@51.48840099885487,-0.23887367305681345,16z",0
Milford-on-Sea Church of England Primary School,"Lymington Road, Lymington, SO41 0RF","https://www.google.com/maps/@50.73352360961279,-1.5890874410422646,16z",0
Our Lady and St Joseph Catholic Primary School,"83A Ramley Road, Lymington, SO41 8GY","https://www.google.com/maps/@50.76077279901921,-1.5706888679601085,16z",0
Trinity Oaks Church of England Primary School,"Brookfield Drive, RH6 9NS","https://www.google.com/maps/@51.182333710895975,-0.15228394289613056,16z",0
George Green's School,"100 Manchester Road, London, E14 3DW","https://www.google.com/maps/@51.469605162495625,-0.06355886202974693,16z",0
University Academy Holbeach,"Park Road, Holbeach, PE12 7PU","https://www.google.com/maps/@52.809241333200575,0.01629796321015988,16z",0
Trinity School,,"https://www.google.com/maps/@54.89837519533897,-2.928761093288249,16z",0
Baysgarth School,,"https://www.google.com/maps/@53.67886869353958,-0.43401168538911433,16z",0
Yeo Moor Primary School,"Kennaway Road, BS21 6JL","https://www.google.com/maps/@51.44171786920227,-2.863100520116377,16z",0
Ysgol Ardudwy,"Ffordd y Treath, Harlech, LL46 2UH","https://www.google.com/maps/@52.862569076914255,-4.111764109152139,16z",0
Blackpool Aspire Academy,"Blackpool Old Road, Blackpool, FY3 7LR","https://www.google.com/maps/@53.83740844795668,-3.015626351740277,16z",0
St Bees School,CA27 0DS,"https://www.google.com/maps/@54.49258859136933,-3.592567520231707,16z",0
St Paul's School,"Lonsdale Road, London, SW13 9JT","https://www.google.com/maps/@51.488638785985344,-0.23615322018140764,16z",0
Mary Elton Primary School,"Holland Road, BS21 7SX","https://www.google.com/maps/@51.42722019858609,-2.8657520832254426,16z",0
Nova Primary School,"Barracks Lane, Bristol, BS11 9NG","https://www.google.com/maps/@51.49783180277201,-2.6822482797730087,16z",0
Ysgol Aberconwy,"Morfa Drive, Conwy, LL32 8ED","https://www.google.com/maps/@53.28618149839391,-3.83802155468014,16z",0
Woodstock House School,,"https://www.google.com/maps/@51.378818768457485,-0.31904637915105555,16z",0
Sidestrand Hall School,NR27 0NH,"https://www.google.com/maps/@52.90879478532385,1.358314014757909,16z",0
All Saints East Clevedon Church of England Primary School,"All Saints Lane, BS21 6AU","https://www.google.com/maps/@51.442128344654016,-2.8405358285789784,16z",0
Ashley Primary School,"Temple Park Road, South Shields, NE34 0QA","https://www.google.com/maps/@54.97777527208234,-1.4322269694149334,16z",0
Ysgol Pennal,SY20 9JT,"https://www.google.com/maps/@52.5858955848865,-3.9222559794217116,16z",0
Holbeach St Marks CoE Primary School,"Main Road, Holbeach St. Marks, PE12 8DZ","https://www.google.com/maps/@52.86084219129969,0.03479956846365843,16z",0
Laceby Acres Primary School,,"https://www.google.com/maps/@53.5542093430125,-0.1325483978180126,16z",0
St Joseph's Catholic Primary School,,"https://www.google.com/maps/@51.556625021381976,0.24746009892566193,16z",0
